ebid,name,stub,area,type,longitude,latitude,function,url,address1,address2,city,postcode,timestamp
0401,"New College",new-college,central,building,-3.1952404975891113,55.9496683956151100,"School of Divinity",http://www.ed.ac.uk/buildings/newcollege.html,"1 Mound Place",,Edinburgh,"EH1 2LU","2015-12-17 10:10:41"
,"Mary Brück building",mary-bruck,kb,building,-3.1730116009930500,55.9231925860886040,Architecture,,"Mayfield Road",,Edinburgh,"EH9 3DW","2015-12-21 14:10:00"
,"Little France parking",,NULL,parkpub,-3.1331968903759844,55.9223389568673200,"Examination and Lecture Theatres",,,,,,"2015-12-17 10:31:09"
0301,"St Cecilia's Hall",st-cecilias-hall,central,building,-3.1864374876022340,55.9488904424293240,,http://www.ed.ac.uk/buildings/stceciliashall.html,"Niddry Street",Cowgate,Edinburgh,"EH1 1NQ","2015-12-17 10:10:40"
,"Easter Bush parking",,NULL,parkperm,-3.2016408741583290,55.8647711337324200,,,,,,,"2015-12-17 10:34:01"
,"Edinburgh Centre for Carbon Innovation",ecci,central,building,-3.1840935499349143,55.9486009337296800,"Societies Centre, Sports Union",,"High School Yards","Infirmary Street",Edinburgh,"EH1 1LZ","2015-12-17 11:28:45"
,"George Square (7)",7-george-sq,NULL,building,-3.1887418181577230,55.9444705808318500,"Registry, School of Law, Talbot Rice Gallery",,"7 George Square",,Edinburgh,"EH8 9JZ","2015-12-17 11:11:28"
,"Student Disability Service",disability-office,central,building,-3.1888836622238160,55.9427473673666640,,,"Main University Library","30 George Square",Edinburgh,"EH8 9LJ","2015-12-17 10:10:39"
0110,"Alison House",alison-house,central,building,-3.1863999366760254,55.9461119105979900,Music,,"12 Nicolson Square",,Edinburgh,"EH8 9DF","2015-12-17 10:10:40"
0108,Potterow,potterow,central,building,-3.1879234313964844,55.9461719890707060,"Student Association (EUSA), Chaplaincy Centre, Health Centre",,"5/2 Bristo Square",,Edinburgh,"EH8 9AL","2015-12-17 10:10:40"
,"Business School",business-school,central,building,-3.1873118877410890,55.9431078681228900,,,"University of Edinburgh Business School","29 Buccleuch Place",Edinburgh,"EH8 9JS","2015-12-17 10:10:39"
0104,"Bedlam Theatre",bedlam-theatre,central,building,-3.1908202171325684,55.9463762551806900,,,"11b Bristo Place",NULL,Edinburgh,"EH1 1EZ","2014-09-30 15:21:50"
0113,"Medical School (Old Medical School)",medical-school,central,building,-3.1905627250671387,55.9452347542822000,,,"Teviot Place",NULL,Edinburgh,"EH8 9AG","2014-09-30 15:21:50"
0114,"McEwan Hall",mcewan-hall,central,building,-3.1896400451660156,55.9453789457260800,,http://www.ed.ac.uk/buildings/mcewanhall.html,"Teviot Place",NULL,Edinburgh,"EH8 9AG","2014-09-30 15:21:50"
,"Reid Concert Hall",reid-concert-hall,central,building,-3.1894040107727050,55.9448983054919800,,http://www.ed.ac.uk/buildings/reidhall.html,"Bristo Square",,Edinburgh,"EH8 9AL","2015-12-21 14:50:02"
0116,"Teviot Row House",teviot-row-house,central,building,-3.1889533996582030,55.9449583858474800,"Student Union",,"Bristo Square",,Edinburgh,"EH8 9AL","2015-12-21 14:50:02"
0210,"Hugh Robson Building",hugh-robson-building,central,building,-3.1899189949035645,55.9442794724061900,,,"George Square",,Edinburgh,"EH8 9XD","2015-12-17 10:10:38"
,"International Office",international-office,central,building,-3.1854477524757385,55.9431904824069100,,http://www.ed.ac.uk/internat/,"33 Buccluech Place",,Edinburgh,"EH8 9JT","2015-12-17 10:10:39"
0201,"Appleton Tower",appleton-tower,central,building,-3.1870651245117188,55.9444416917442200,,,"11 Crichton Street",,Edinburgh,"EH8 9LE","2015-12-17 10:10:40"
